task,model,metric,random_split,scaffold_split,performance_drop
classification,logistic_regression,accuracy,0.7912087912087912,0.73224043715847,0.05896835405032119
classification,logistic_regression,balanced_accuracy,0.7912087912087912,0.735632183908046,0.05557660730074521
classification,logistic_regression,precision,0.7731958762886598,0.6862745098039216,0.08692136648473825
classification,logistic_regression,recall,0.8241758241758241,0.8045977011494253,0.01957812302639883
classification,logistic_regression,f1,0.7978723404255319,0.7407407407407407,0.0571315996847912
classification,logistic_regression,auroc,0.8521917642796764,0.7957974137931035,0.05639435048657282
classification,random_forest,accuracy,0.8406593406593407,0.8306010928961749,0.010058247763165773
classification,random_forest,balanced_accuracy,0.8406593406593406,0.8342313218390804,0.006428018820260117
classification,random_forest,precision,0.8297872340425532,0.7745098039215687,0.055277430120984516
classification,random_forest,recall,0.8571428571428571,0.9080459770114943,-0.05090311986863716
classification,random_forest,f1,0.8432432432432433,0.8359788359788359,0.007264407264407358
classification,random_forest,auroc,0.940466127279314,0.9195402298850576,0.020925897394256432
classification,xgboost,accuracy,0.8626373626373627,0.8469945355191257,0.015642827118236946
classification,xgboost,balanced_accuracy,0.8626373626373627,0.8471623563218391,0.015475006315523565
classification,xgboost,precision,0.8586956521739131,0.8314606741573034,0.02723497801660968
classification,xgboost,recall,0.8681318681318682,0.8505747126436781,0.017557155488190035
classification,xgboost,f1,0.8633879781420765,0.8409090909090909,0.022478887232985523
classification,xgboost,auroc,0.9459002535925614,0.9343869731800767,0.011513280412484672
regression,linear_regression,rmse,0.8071334780991142,2.0538428400833206,-1.2467093619842065
regression,linear_regression,mae,0.5899773627387274,1.5458400179622895,-0.9558626552235622
regression,linear_regression,r2,0.056093557093131,-5.563346285299742,5.6194398423928735
regression,random_forest_regressor,rmse,0.3855888639582953,0.49793551480487763,-0.11234665084658235
regression,random_forest_regressor,mae,0.2974756259759726,0.41076627989060444,-0.11329065391463183
regression,random_forest_regressor,r2,0.7845794187140569,0.6142223103612388,0.17035710835281814
regression,xgboost_regressor,rmse,0.4023114726731742,0.47432656811221496,-0.07201509543904078
regression,xgboost_regressor,mae,0.3142118348612019,0.39245578800725883,-0.07824395314605692
regression,xgboost_regressor,r2,0.765489084042698,0.6499373274636808,0.11555175657901717
